Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
HDFCBANK,EQ,2018-06-18,2029.6,2030.1,2038.8,2009.1,2018,2019.15,2019.92,1871851,3780992320.0,86693,1149303,61.4,6,2018,1865.1211371032534,-0.005148797792668414,Slight or No change
HDFCBANK,EQ,2018-06-19,2019.15,2024.95,2040.7,2019.3,2023,2023.5,2028.53,2745288,5568904836.0,117626,1709015,62.25,6,2018,1866.1150601435152,0.002154371889161233,Slight or No change
HDFCBANK,EQ,2018-06-20,2023.5,2026.0,2058.0,2025.0,2056,2056.15,2046.34,2262928,4630722761.0,90621,1568971,69.33,6,2018,1867.0930425148993,0.01613540894489751,Slight or No change
HDFCBANK,EQ,2018-06-21,2056.15,2060.0,2070.8,2047.05,2056.55,2057.6,2058.53,3377676,6953041564.0,115968,1771901,52.46,6,2018,1868.545262421126,0.0007052014687642938,Slight or No change
HDFCBANK,EQ,2018-06-22,2057.6,2056.95,2088.8,2049.85,2082.25,2083.35,2066.71,1962245,4055397421.0,61594,935825,47.69,6,2018,1869.4923314085704,0.012514580093312633,Slight or No change
HDFCBANK,EQ,2018-06-25,2083.35,2083.05,2097.8,2073.05,2094.95,2094.95,2090.83,1748084,3654945764.0,92981,1066469,61.01,6,2018,1870.3744142369162,0.005567955456356355,Slight or No change
HDFCBANK,EQ,2018-06-26,2094.95,2086.05,2103.0,2079.85,2092,2093.7,2096.18,2290483,4801266127.0,105856,1488070,64.97,6,2018,1871.5134226968858,-0.0005966729516218017,Slight or No change
HDFCBANK,EQ,2018-06-27,2093.7,2093.0,2119.5,2090.0,2114.9,2112.6,2111.09,4781701,10094601459.0,143081,3797571,79.42,6,2018,1874.0533259665524,0.009027081243731194,Slight or No change
HDFCBANK,EQ,2018-06-28,2112.6,2115.0,2140.0,2111.2,2126.5,2130.85,2127.87,9383385,19966613732.0,164533,6546679,69.77,6,2018,1879.2547669320531,0.008638644324528988,Slight or No change
HDFCBANK,EQ,2018-06-29,2130.85,2121.7,2140.0,2105.1,2111,2108.45,2124.32,4864530,10333807329.0,133620,3762199,77.34,6,2018,1881.6364535622745,-0.010512236900767302,Slight or No change
HDFCBANK,EQ,2018-07-02,2108.45,2108.35,2108.4,2063.25,2069.85,2073.25,2078.06,2466219,5124945923.0,118052,1633841,66.25,7,2018,1882.6406392243607,-0.01669472835495256,Slight or No change
