Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFCBANK,EQ,10-Nov-17,1827.85,1821.7,1834.8,1812.35,1823.95,1822,1821.63,1936090,3526848074,22186,1525422,78.79
HDFCBANK,EQ,13-Nov-17,1822,1822,1823.15,1795,1814.25,1813.55,1806.89,833968,1506888249,25953,529394,63.48
HDFCBANK,EQ,14-Nov-17,1813.55,1815.9,1819,1800,1801.35,1802.35,1805.86,1178117,2127513693,33880,898608,76.27
HDFCBANK,IL,14-Nov-17,1840,1805,1805,1805,-,1805,1805,36482,65850010,2,36482,100
HDFCBANK,EQ,15-Nov-17,1802.35,1798,1803.65,1788,1799.25,1800.25,1796.37,1537092,2761182589,26862,1177181,76.58
HDFCBANK,EQ,16-Nov-17,1800.25,1804,1816,1795.2,1812.95,1807.7,1807.23,1003243,1813088828,32161,631891,62.98
HDFCBANK,IL,16-Nov-17,1805,1806.4,1810,1806.4,-,1810,1808.2,100000,180820000,8,100000,100
HDFCBANK,EQ,17-Nov-17,1807.7,1828.7,1838.3,1813.15,1822,1825.55,1827.72,1589693,2905508997,44931,797013,50.14
HDFCBANK,EQ,20-Nov-17,1825.55,1829,1839.7,1829,1836.05,1838.15,1836.08,598106,1098170760,30131,336543,56.27
HDFCBANK,EQ,21-Nov-17,1838.15,1837.45,1850,1836.1,1848,1846.25,1845.41,568883,1049822787,17143,349608,61.46
HDFCBANK,IL,21-Nov-17,1810,1854.5,1856.25,1854.3,-,1856,1854.83,334,619513.2,14,334,100
HDFCBANK,EQ,22-Nov-17,1846.25,1849.7,1860,1844.55,1854.6,1855.25,1853.89,1415199,2623628897,31420,944319,66.73
HDFCBANK,EQ,23-Nov-17,1855.25,1859,1860,1838,1840,1842.85,1847.79,808145,1493278728,16903,492990,61
HDFCBANK,EQ,24-Nov-17,1842.85,1843,1857.8,1841,1857.5,1851.4,1848.31,1300921,2404501397,26271,979768,75.31
HDFCBANK,EQ,27-Nov-17,1851.4,1849,1862,1845.6,1860.15,1857.55,1852.09,967618,1792111672,75853,622801,64.36
